location,total_cases_country
United States,33026623
India,25772440
Brazil,15812055
France,5978650
Russia,4908794
United Kingdom,4468366
Turkey,4327813
Italy,4172525
Germany,3627777
Spain,3625928
Argentina,3411160
Colombia,3161126
Poland,2859261
Iran,2792204
Mexico,2387512
Ukraine,2222115
Peru,1903615
Indonesia,1753101
Czechia,1655414
Netherlands,1637940
South Africa,1621362
Canada,1350897
Chile,1300629
Philippines,1159071
Iraq,1151557
Romania,1073679
Sweden,1051762
Belgium,1038514
Pakistan,890391
Portugal,843278
Israel,839221
Hungary,799588
Bangladesh,783737
Jordan,726432
Serbia,708328
Japan,699929
Switzerland,684954
Austria,639054
United Arab Emirates,550029
Lebanon,537043
Morocco,515758
Malaysia,485496
Nepal,480418
Saudi Arabia,436239
Kazakhstan,420863
Bulgaria,415687
Ecuador,412907
Slovakia,388138
Greece,383558
Belarus,380089
Panama,372221
Croatia,351997
Bolivia,337441
Georgia,333601
Azerbaijan,331040
Tunisia,329925
Paraguay,321032
Palestine,304532
Kuwait,294693
Costa Rica,293820
Dominican Republic,279565
Denmark,270047
Lithuania,267769
Ethiopia,267597
Ireland,254870
Moldova,254213
Slovenia,250453
Uruguay,249365
Egypt,249238
Guatemala,243833
Honduras,229211
Armenia,221368
Venezuela,218814
Qatar,214150
Oman,207805
Bahrain,206878
Bosnia and Herzegovina,202847
Libya,182350
Kenya,166382
Nigeria,165852
North Macedonia,154891
Sri Lanka,151343
Myanmar,143159
South Korea,134116
Albania,132095
Latvia,129297
Cuba,128094
Estonia,127757
Algeria,125896
Norway,120292
Thailand,116945
Kosovo,106657
China,102249
Kyrgyzstan,101219
Montenegro,99031
Uzbekistan,97280
Ghana,93456
Zambia,92630
Finland,90687
Cameroon,77429
Cyprus,71533
El Salvador,71479
Mozambique,70509
Luxembourg,69398
Afghanistan,64122
Singapore,61689
Namibia,51827
Botswana,50800
Mongolia,50618
Maldives,48608
Jamaica,47572
Cote d'Ivoire,46777
Uganda,43094
Senegal,40925
Madagascar,40385
Zimbabwe,38612
Sudan,34889
Malawi,34238
Angola,31438
Democratic Republic of Congo,30708
Malta,30489
Australia,29995
Cape Verde,28699
Rwanda,26424
Gabon,24039
Syria,23884
Cambodia,23282
Guinea,22879
Mauritania,18957
Eswatini,18530
Trinidad and Tobago,17669
Guyana,15607
Papua New Guinea,14639
Somalia,14575
Mali,14221
Haiti,13598
Andorra,13569
Burkina Faso,13407
Tajikistan,13308
Togo,13299
Belize,12753
Suriname,12409
Congo,11476
Djibouti,11468
Bahamas,11321
Lesotho,10806
South Sudan,10652
Seychelles,9764
Benin,8025
Equatorial Guinea,7694
Nicaragua,7193
Central African Republic,7010
Yemen,6593
Iceland,6551
Gambia,5966
Niger,5356
San Marino,5087
Timor,4949
Chad,4914
Saint Lucia,4906
Vietnam,4720
Burundi,4382
Sierra Leone,4107
Barbados,3975
Eritrea,3887
Comoros,3864
Guinea-Bissau,3746
Liechtenstein,2993
New Zealand,2659
Taiwan,2532
Monaco,2497
Sao Tome and Principe,2333
Liberia,2142
Saint Vincent and the Grenadines,1949
Laos,1737
Bhutan,1322
Mauritius,1288
Antigua and Barbuda,1252
Tanzania,509
Brunei,235
Dominica,184
Fiji,178
Grenada,161
Saint Kitts and Nevis,45
Vatican,27
Solomon Islands,20
Marshall Islands,4
Vanuatu,4
Samoa,3
Micronesia (country),1
Bonaire Sint Eustatius and Saba,NULL
Anguilla,NULL
French Polynesia,NULL
Northern Cyprus,NULL
Turkmenistan,NULL
Sint Maarten (Dutch part),NULL
Curacao,NULL
Aruba,NULL
Faeroe Islands,NULL
Gibraltar,NULL
Turks and Caicos Islands,NULL
Guernsey,NULL
Falkland Islands,NULL
Nauru,NULL
Bermuda,NULL
Hong Kong,NULL
Cayman Islands,NULL
Greenland,NULL
Macao,NULL
Tuvalu,NULL
Wallis and Futuna,NULL
Isle of Man,NULL
Saint Helena,NULL
New Caledonia,NULL
Jersey,NULL
Montserrat,NULL
Tonga,NULL
